,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,109
2,0.0,52.7,50.97,52.09,49.17,50.73,50.17,48.79,53.16,51.85,49.89,50.45,48.82,50.0,52.07,48.72,49.83,50.0,51.89,50.98,49.49,51.85,52.64,49.16,53.73,49.95,49.83,49.46,51.24,48.42,51.24,52.63,48.69,47.57,52.08,48.58,50.57,48.28,48.57,49.34,49.83,52.7,50.22,53.05,50.44,51.88,48.23,50.17,49.12,48.62,52.19,53.08,51.5,47.54,50.17,53.11,50.62,53.32,53.32,50.24,50.7,52.41,49.3,50.85,43.82,51.41,51.12,48.62,48.24,50.17,49.26,49.49,49.02,48.92,50.0,50.43,47.27,52.93,51.31,50.84,51.91,50.22,52.0,49.16,52.05,51.74,51.04,47.02,49.78,50.47,51.22,51.21,53.26,51.29,47.96,52.9,49.77,50.7,50.81,50.87,48.86,51.17,48.93,51.6,51.25,50.22,51.15
3,52.7,0.0,48.85,46.15,51.36,48.86,49.64,48.68,51.86,49.66,51.2,48.46,48.34,48.83,51.97,50.77,47.23,51.14,47.16,47.81,50.33,48.13,47.03,49.18,50.22,51.18,47.02,51.81,50.91,51.61,48.47,49.29,47.13,51.58,49.77,50.48,50.12,49.22,49.04,50.4,51.62,50.36,51.27,53.53,51.56,52.4,50.16,51.42,49.66,47.39,50.76,50.4,50.56,51.56,51.42,48.85,49.12,52.48,47.63,49.94,49.72,50.96,49.08,50.28,49.94,50.23,50.67,49.71,47.15,50.91,45.29,48.62,50.23,50.67,50.29,49.5,50.63,51.67,49.49,48.38,49.46,48.71,51.95,47.9,47.29,50.47,46.29,47.15,51.42,49.54,50.29,47.89,50.54,50.0,50.63,50.0,50.89,50.34,48.97,50.52,48.73,52.89,50.73,50.3,51.08,51.48,47.06
4,50.97,48.85,0.0,48.33,47.23,48.67,48.33,49.57,48.05,49.57,49.78,48.96,48.31,51.41,48.67,49.25,49.37,49.5,49.29,52.26,50.23,50.06,48.25,52.04,46.88,51.99,49.08,50.1,48.38,50.17,52.12,51.24,51.41,48.82,50.9,52.53,52.02,49.94,49.32,47.01,54.22,52.3,49.1,47.34,48.7,52.66,50.45,48.41,47.6,49.79,47.0,51.04,48.39,50.73,50.34,53.06,50.35,52.03,48.86,50.16,49.83,49.38,51.08,49.11,49.89,50.28,50.05,50.8,49.13,49.58,52.58,50.79,49.56,50.0,49.94,48.89,49.94,49.5,51.33,52.86,49.72,46.14,50.0,49.72,48.78,48.88,51.83,49.35,49.31,51.53,48.44,50.8,51.35,48.2,48.72,48.55,49.63,52.39,51.41,47.64,52.39,49.77,49.21,53.03,51.91,49.88,48.14
5,52.09,46.15,48.33,0.0,52.1,49.05,48.46,49.62,51.61,47.33,50.72,50.18,53.04,50.97,46.26,49.02,48.76,49.1,49.18,49.09,48.14,51.27,50.22,49.77,50.85,50.9,49.6,48.74,50.62,46.94,49.23,46.82,51.83,48.63,49.26,49.84,49.18,49.43,51.92,51.55,45.87,49.17,51.25,49.88,50.52,50.72,47.92,46.24,49.94,49.09,52.33,50.46,49.51,51.1,49.11,50.63,50.77,48.82,48.9,51.11,49.14,49.34,47.81,50.39,48.82,48.06,50.74,51.6,50.11,46.68,49.42,50.22,48.46,49.94,50.52,48.98,51.46,51.08,48.13,48.22,49.56,47.77,50.61,48.59,50.0,51.34,48.39,49.26,50.61,47.69,51.92,50.23,51.29,52.15,50.11,48.13,47.36,47.77,51.32,45.86,48.16,50.21,49.34,48.09,46.14,54.14,49.21
6,49.17,51.36,47.23,52.1,0.0,52.06,47.68,47.88,50.75,50.87,46.97,48.93,50.59,48.98,49.88,51.51,50.5,54.12,51.37,49.66,51.83,51.63,49.57,49.62,52.01,48.34,48.01,51.43,52.54,48.63,48.74,49.18,52.26,49.77,48.77,52.33,46.54,50.28,49.6,49.16,51.61,50.99,53.61,51.49,49.2,52.24,49.53,49.66,51.39,52.59,51.1,49.71,51.51,49.38,50.85,46.64,50.39,47.98,49.78,46.15,49.25,51.15,48.87,47.66,49.37,51.81,48.59,49.05,46.17,49.76,50.93,49.26,51.99,51.52,47.34,50.22,52.7,49.15,50.22,55.67,48.91,48.94,50.11,50.11,48.5,51.58,50.69,49.88,50.6,48.58,50.51,46.59,49.89,52.37,51.63,53.22,49.0,53.68,50.29,46.54,48.94,49.49,50.69,52.42,48.34,48.11,51.25
7,50.73,48.86,48.67,49.05,52.06,0.0,51.98,51.51,49.94,46.84,51.54,50.36,48.78,50.12,48.7,50.52,50.68,54.31,52.12,50.42,50.68,48.94,50.0,52.26,51.2,47.56,49.26,49.14,49.84,49.44,50.95,49.62,50.8,48.72,49.48,48.61,51.76,48.2,48.84,51.05,52.76,53.09,51.48,50.91,48.52,51.89,49.67,48.24,49.21,48.35,50.96,52.18,54.6,45.5,50.44,48.12,50.82,50.54,49.94,49.1,48.52,51.06,47.54,51.4,52.4,50.06,49.77,50.0,49.32,48.68,49.83,49.6,47.99,50.0,49.57,47.5,50.06,48.51,50.06,50.35,52.95,51.14,52.13,50.12,51.45,51.0,48.26,48.11,50.29,49.94,50.79,48.19,49.6,52.59,52.19,48.5,50.23,49.19,52.46,51.1,48.34,50.18,53.61,52.92,52.35,49.32,47.56
8,50.17,49.64,48.33,48.46,47.68,51.98,0.0,50.06,48.76,48.33,48.63,47.96,49.5,52.7,47.11,50.97,49.27,52.0,51.12,53.93,48.58,51.18,48.85,49.07,50.61,48.4,47.87,48.96,50.17,48.22,49.94,46.37,49.41,49.34,48.46,48.5,48.18,48.93,48.89,47.33,48.58,48.63,48.14,49.36,51.38,51.1,50.33,52.3,49.77,48.86,49.45,48.07,48.55,51.34,53.34,48.69,53.72,50.4,47.48,50.28,48.81,46.45,53.06,49.77,48.38,49.78,50.06,48.02,50.58,53.97,46.79,50.0,47.28,49.37,51.38,48.08,50.0,52.76,50.41,48.48,46.85,47.88,50.62,49.95,51.41,49.77,49.94,51.37,51.76,48.39,49.0,48.44,50.58,50.3,46.59,50.0,47.16,49.47,48.98,50.63,51.36,49.32,48.1,49.37,49.53,50.99,45.58
9,48.79,48.68,49.57,49.62,47.88,51.51,50.06,0.0,51.02,49.14,50.76,51.85,49.56,49.61,51.04,49.31,47.64,48.38,49.3,50.63,51.59,49.25,51.28,47.89,47.39,47.93,47.13,47.74,49.95,47.57,51.04,48.71,51.49,52.64,46.87,49.56,50.51,46.3,48.28,47.55,49.48,50.5,48.35,49.49,47.83,50.57,47.52,49.16,50.29,47.53,50.47,47.88,50.23,49.84,49.37,47.66,52.11,46.58,48.45,48.77,50.0,47.99,49.78,48.69,50.16,49.24,51.01,50.12,51.0,47.82,51.46,50.99,49.2,46.74,48.71,49.12,48.83,49.31,48.74,48.12,49.6,52.04,50.39,47.7,45.58,47.47,47.61,47.69,48.67,49.67,51.27,48.48,52.95,50.29,48.02,50.11,51.24,51.74,49.43,50.17,47.55,48.3,46.28,47.83,50.28,49.0,50.06
10,53.16,51.86,48.05,51.61,50.75,49.94,48.76,51.02,0.0,49.23,49.6,49.14,51.17,48.09,51.14,53.01,50.0,49.34,48.97,50.73,48.75,50.28,48.47,48.2,48.86,53.04,49.89,48.87,53.19,50.94,48.6,51.19,46.89,48.57,55.54,49.12,50.16,48.44,48.83,50.39,49.1,51.41,49.77,49.49,48.54,48.44,46.05,49.55,49.95,51.48,52.17,48.67,48.17,51.37,48.24,49.28,53.76,49.77,51.67,51.9,48.2,50.72,50.78,50.85,49.94,48.31,50.34,49.53,49.11,50.0,47.71,49.26,48.56,47.8,52.82,49.22,48.98,50.66,52.81,52.02,52.54,50.17,51.66,51.26,49.89,49.54,51.7,50.62,50.55,50.69,51.36,49.15,50.11,49.03,49.52,49.26,48.39,50.84,49.83,51.06,52.11,51.85,50.29,48.69,49.82,51.25,53.14
